theme,subtheme,layer_name,display_name
Socioeconomic,Education,a_alaska_schools,Alaska Schools
Socioeconomic,Education,a_arctic_education_osm,Arctic Education
Socioeconomic,Education,a_canada_universities,Canada Universities
Socioeconomic,Education,a_greenland_universities,Greenland Universities
Socioeconomic,Education,a_iceland_universities,Iceland Universities
Socioeconomic,Education,a_murmansk_universities,Murmansk Universities
Socioeconomic,Education,a_siberia_universities,Siberia Universities
Socioeconomic,Human Settlements,a_gis_osm_places_a_free_1,Alaska A Places (polygon)
Socioeconomic,Human Settlements,a_gis_osm_places_free_1,Alaska Places (point)​
Socioeconomic,Human Settlements,a_gis_osm_pofw_a_free_1,Alaska A Places of Worship (polygon)​
Socioeconomic,Human Settlements,a_gis_osm_pofw_free_1,Alaska Places of Worship (point)​
Socioeconomic,Human Settlements,a_gis_osm_pois_a_free_1,Alaska A Places of Interest (polygon)​
Socioeconomic,Human Settlements,a_gis_osm_pois_free_1,Alaska Places of Interest (point)​
Socioeconomic,Human Settlements,a_alaska_points,Alaska Points (natural features and infrastructure) ​
Socioeconomic,Human Settlements,a_clean_ca_geonames,Canada Geonames (human settlements and natural features)​
Socioeconomic,Human Settlements,a_clean_gl_geonames,Greenland Geonames (human settlements and natural features)​
Socioeconomic,Human Settlements,a_iceland_points,Iceland Points (natural features and infrastructure) ​
Socioeconomic,Human Settlements,sweden_geonames,Sweden Geonames (human settlements and natural features)​
Socioeconomic,Human Settlements,a_nordregion_acpr_sett_v1,Arctic Circumpolar Permafrost Region Settlements Ver 1
Socioeconomic,Human Settlements,a_nordregion_acpr_sett_v2,Arctic Circumpolar Permafrost Region Settlements Ver 2
Socioeconomic,Human Settlements,a_arctic_healthcare_osm,Arctic Healthcare
Socioeconomic,Human Settlements,a_arctic_hospitality_osm,Arctic Hospitality
Socioeconomic,Human Settlements,a_sweden_points,Sweden Points (natural features and infrastructure) ​
Socioeconomic,Human Settlements,a_clean_cs_night_areas,Night Areas
Socioeconomic,Human Settlements,clean_human_activities,Human Activities
Socioeconomic,Administrative & Geographic Boundaries,finland_centroids,Finland Centroids (centroids of geographic and administrative regions) ​
Socioeconomic,Administrative & Geographic Boundaries,a_alaska_multipolygons,Alaska Multipolygons (geographic and administrative boundaries) ​
Socioeconomic,Administrative & Geographic Boundaries,finland_multipolygons,Finland Multipolygons (geographic and administrative boundaries) ​
Socioeconomic,Administrative & Geographic Boundaries,clean_sweden_multipolygons,Sweden Multipolygons (geographic and administrative boundaries) ​
Socioeconomic,Administrative & Geographic Boundaries,a_clean_ne_10m_countries,Administrative Country Boundaries
Socioeconomic,Administrative & Geographic Boundaries,a_clean_arctic_regions,Arctic Regions
Socioeconomic,Administrative & Geographic Boundaries,a_finland_merged,Finland Merged (geographic and administrative boundaries) ​
Socioeconomic,Administrative & Geographic Boundaries,iceland_poly,"Iceland Polygons (geographic, administrative, land-use boundaries)​"
Socioeconomic,Administrative & Geographic Boundaries,a_norway_polygons,"Norway Polygons (geographic, administrative, land-use boundaries)​"
Socioeconomic,Administrative & Geographic Boundaries,political_boundaries_cleaned,Country Political Boundaries
Socioeconomic,Administrative & Geographic Boundaries,cpad_arctic_base,CPAD Arctic Base Boundaries
Environmental,Animal & Plant Distribution,iucn_amphibians,Amphibian Species​
Environmental,Animal & Plant Distribution,iucn_mammals,Mammal Species​
Environmental,Animal & Plant Distribution,iucn_plants,Plant Species​
